Estadística de Hipotecas
Resultados nacionales y por comunidades autonomas.
Hipotecas constituidas sobre el total de fincas por naturaleza de la finca
Unidades: Miles ¤
;Viviendas;;;;;;;;;;;;;;;;;;;;
;Importe de hipotecas;;;;;;;;;;;;;;;;;;;;
;Total Nacional;01 Andalucía;02 Aragón;03 Asturias, Principado de;04 Balears, Illes;05 Canarias;06 Cantabria;08 Castilla - La Mancha;07 Castilla y León;09 Cataluña;18 Ceuta;10 Comunitat Valenciana;11 Extremadura;12 Galicia;13 Madrid, Comunidad de;19 Melilla;14 Murcia, Región de;15 Navarra, Comunidad Foral de;16 País Vasco;17 Rioja, La;
2021M06;5.331.866;983.314;150.024;59.537;147.172;136.070;72.411;141.393;146.481;968.669;1.986;400.742;45.988;103.921;1.520.488;6.743;94.118;56.210;280.657;15.942;
2021M05;4.706.458;773.109;96.135;77.019;134.390;122.576;58.220;129.236;132.516;994.727;3.402;404.267;65.982;125.533;1.101.973;6.614;100.342;57.823;303.017;19.577;
2021M04;4.450.151;712.970;77.750;56.513;143.496;94.334;46.647;108.318;111.283;859.044;3.600;348.800;56.526;119.747;1.327.452;5.743;68.723;44.221;243.727;21.257;
2021M03;5.080.261;797.812;81.597;62.165;135.835;118.942;64.010;150.702;136.684;1.022.902;2.722;458.705;48.293;161.521;1.409.625;3.128;91.151;58.672;257.175;18.620;
2021M02;4.157.774;720.676;97.938;63.843;168.363;91.803;47.578;121.872;119.591;796.247;3.488;340.053;48.460;115.909;1.015.259;8.244;80.702;54.064;245.296;18.388;
2021M01;3.549.899;613.984;87.004;56.931;94.410;93.285;40.111;103.061;126.455;758.299;680;282.614;48.591;114.532;780.723;5.396;51.932;56.386;222.377;13.128;
2020M12;3.544.460;564.802;111.453;45.950;97.380;94.217;40.299;99.903;117.760;689.671;699;280.703;44.792;123.247;881.120;6.300;45.687;35.839;253.655;10.983;
2020M11;3.930.242;626.540;97.182;51.341;141.729;100.418;34.256;114.699;107.455;750.514;846;340.474;40.683;104.152;1.033.294;5.430;58.578;40.341;263.716;18.594;
2020M10;3.811.213;651.872;93.000;46.467;132.202;88.233;30.213;109.405;116.958;655.206;2.400;310.653;40.727;84.160;1.095.079;3.304;60.151;40.908;233.627;16.648;
2020M09;3.629.475;595.087;85.588;54.635;125.088;86.917;38.735;107.260;98.301;638.326;1.875;300.729;51.619;105.971;1.000.588;6.198;65.789;34.202;219.238;13.329;
2020M08;2.670.001;416.825;73.405;42.268;113.978;126.056;30.057;93.680;80.643;451.007;780;221.933;33.374;86.847;633.116;2.602;49.812;37.435;161.081;15.102;
2020M07;3.442.858;608.387;92.437;50.862;113.187;122.990;25.456;75.754;98.389;732.169;1.651;272.961;41.289;78.909;733.706;1.821;61.895;27.939;282.494;20.562;
2020M06;3.579.511;507.276;71.762;59.714;120.375;87.687;40.108;77.866;113.974;688.733;3.560;223.500;44.750;85.511;1.001.757;2.644;61.843;32.921;344.507;11.023;
2020M05;3.249.459;498.515;81.088;35.597;136.454;115.417;34.823;62.336;85.150;633.133;16.149;266.077;24.544;98.239;871.797;5.342;43.044;31.305;198.455;11.994;
2020M04;3.023.879;587.651;54.320;46.638;100.253;67.139;20.735;49.412;77.953;661.561;1.681;257.932;27.934;81.425;701.504;1.767;57.430;24.577;187.391;16.576;
2020M03;3.506.141;567.427;94.621;58.317;125.406;106.007;34.412;88.269;87.962;767.958;3.828;282.428;35.008;79.447;846.305;4.394;64.916;47.004;193.246;19.186;
2020M02;6.427.050;1.118.732;134.137;60.285;183.187;106.559;43.798;123.207;127.501;2.372.431;1.000;393.927;53.478;102.485;1.193.733;2.926;81.884;45.492;266.500;15.788;
2020M01;4.572.089;696.174;103.116;75.270;199.160;141.999;39.964;127.898;138.698;814.037;6.695;365.388;57.370;128.270;1.253.042;7.853;72.632;75.811;248.341;20.371;
Notas:
Los datos son provisionales desde junio de 2020 .
Fuente: Instituto Nacional de Estadística
