Estadística de Hipotecas
Resultados nacionales y por comunidades autonomas.
Hipotecas constituidas sobre el total de fincas por naturaleza de la finca
Unidades: Hipotecas
;Viviendas;;;;;;;;;;;;;;;;;;;;
;Número de hipotecas;;;;;;;;;;;;;;;;;;;;
;Total Nacional;01 Andalucía;02 Aragón;03 Asturias, Principado de;04 Balears, Illes;05 Canarias;06 Cantabria;08 Castilla - La Mancha;07 Castilla y León;09 Cataluña;18 Ceuta;10 Comunitat Valenciana;11 Extremadura;12 Galicia;13 Madrid, Comunidad de;19 Melilla;14 Murcia, Región de;15 Navarra, Comunidad Foral de;16 País Vasco;17 Rioja, La;
2021M06;37.961;7.853;1.230;623;852;1.084;721;1.608;1.529;5.889;17;4.047;562;971;7.372;51;1.136;459;1.782;175;
2021M05;35.225;6.746;912;709;768;1.120;581;1.326;1.363;6.177;29;4.038;786;1.225;5.625;55;1.166;517;1.873;209;
2021M04;31.909;6.327;748;525;677;861;435;1.135;1.218;5.343;28;3.701;685;1.110;6.174;43;827;353;1.505;214;
2021M03;36.886;6.941;775;615;775;1.091;569;1.475;1.305;6.580;19;4.327;581;1.433;6.881;20;1.088;474;1.734;203;
2021M02;31.647;6.227;943;585;743;831;431;1.310;1.276;5.051;28;3.600;610;1.146;5.489;73;1.007;425;1.657;215;
2021M01;27.518;5.591;792;555;643;878;390;1.114;1.183;4.690;7;2.899;607;1.049;4.349;42;692;458;1.426;153;
2020M12;26.128;4.933;862;448;505;800;354;1.071;1.095;4.336;6;2.837;551;1.079;4.682;48;563;280;1.555;123;
2020M11;28.756;5.474;860;523;644;876;324;1.167;1.128;4.711;5;3.401;526;968;5.087;43;740;353;1.729;197;
2020M10;28.248;5.697;763;492;964;800;279;1.199;1.226;4.091;21;3.119;496;855;5.504;22;758;332;1.451;179;
2020M09;26.878;5.030;756;517;823;1.095;338;1.095;959;3.968;17;2.867;555;1.050;5.077;38;808;274;1.469;142;
2020M08;19.825;3.689;633;419;504;1.063;279;981;963;2.787;5;2.051;413;790;3.059;19;585;286;1.125;174;
2020M07;26.014;4.598;721;511;751;1.221;248;857;934;4.400;13;3.341;512;743;3.833;14;713;217;2.185;202;
2020M06;26.890;4.713;657;572;728;824;365;862;1.117;4.316;28;2.458;548;817;5.045;26;743;271;2.666;134;
2020M05;25.630;4.818;702;346;758;1.259;334;677;902;4.311;88;2.968;314;998;4.918;37;500;295;1.281;124;
2020M04;24.155;5.571;551;453;628;669;190;570;839;4.322;11;2.861;334;842;3.974;16;680;228;1.236;180;
2020M03;27.300;5.284;809;544;648;962;353;1.006;962;4.985;30;3.024;442;799;4.749;26;764;386;1.273;254;
2020M02;36.702;6.864;1.336;694;1.022;998;418;1.351;1.491;6.437;8;4.221;627;1.069;6.820;23;961;414;1.772;176;
2020M01;40.217;7.017;985;1.112;1.496;1.506;412;1.572;1.891;5.584;48;4.219;685;1.421;8.660;63;957;723;1.628;238;
Notas:
Los datos son provisionales desde junio de 2020 .
Fuente: Instituto Nacional de Estadística
